num_models,num_samples,attack_type,num_epochs,n_estimators,best_models,intermediate_models,attacked_epochs,rounds,input_size,batch_ratio,hidden_sizes,first_dropout,middle_dropout,last_dropout,weight_decay,last_non_linearity,middle_non_linearity,non_linearity,input_transform,lr_alpha,lr_steps,input_size_freq,uncertainty_weights,compression,compression_parameter,seed,TN,FP,FN,TP,accuracy,precision,recall
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,96,69,54,111,0.6272727272727273,0.6166666666666667,0.6727272727272727
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,92,73,56,109,0.6090909090909091,0.5989010989010989,0.6606060606060606
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,3,94,71,58,107,0.6090909090909091,0.601123595505618,0.6484848484848484
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,4,88,77,57,108,0.593939393939394,0.5837837837837838,0.6545454545454545
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,5,94,71,52,113,0.6272727272727273,0.6141304347826086,0.6848484848484848
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,6,92,73,55,110,0.6121212121212121,0.6010928961748634,0.6666666666666666
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,7,93,72,52,113,0.6242424242424243,0.6108108108108108,0.6848484848484848
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,8,90,75,50,115,0.6212121212121212,0.6052631578947368,0.696969696969697
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,9,90,75,55,110,0.6060606060606061,0.5945945945945946,0.6666666666666666
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[6000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,10,96,69,59,106,0.6121212121212121,0.6057142857142858,0.6424242424242425
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,1,98,67,52,113,0.6393939393939394,0.6277777777777778,0.6848484848484848
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,2,94,71,53,112,0.6242424242424243,0.6120218579234973,0.6787878787878788
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,3,96,69,58,107,0.6151515151515151,0.6079545454545454,0.6484848484848484
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,4,90,75,53,112,0.6121212121212121,0.5989304812834224,0.6787878787878788
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,5,93,72,60,105,0.6,0.5932203389830508,0.6363636363636364
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,6,93,72,53,112,0.6212121212121212,0.6086956521739131,0.6787878787878788
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,7,96,69,59,106,0.6121212121212121,0.6057142857142858,0.6424242424242425
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,8,97,68,55,110,0.6272727272727273,0.6179775280898876,0.6666666666666666
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,9,94,71,44,121,0.6515151515151515,0.6302083333333334,0.7333333333333333
3,500,rf,300,100,False,False,"[12, 14, 16]",1000,32000,0.02,[8000],0.0,0.2,0.2,1e-06,relu,relu,relu,binarize,0.3,[10],32000,False,,,10,95,70,52,113,0.6303030303030303,0.6174863387978142,0.6848484848484848
